level,source,event_id,masked_description,occurrence_count
I,MRI_CPA,1042,The display and backlight have been deactivated via the switched supply voltage.,337585
I,MRI_CPA,1068,The rotary wheel on the control panel is deflected.,182539
I,MRI_TBC,249,"TxK2304_2Ch-NIOS [Dev#<DEV_ID>] unit info: NIOS has an error regarding the jtag uart functionality. Select ""Restart System"". If the problem persists, please contact Siemens Service.",170451
I,MRI_TBC,247,"TxK2304_2Ch-NIOS [Dev#<DEV_ID>] unit info: NIOS has an error regarding the logging functionality. Select ""Restart System"". If the problem persists, please contact Siemens Service.",170449
I,MRI_TBC,105,TxK2304_2Ch [Dev#<DEV_ID>] unit info: CH0_TX_QUEUE_SEQUENZER_BUSY0,166203
I,MRI_TBC,86,TxK2304_2Ch [Dev#<DEV_ID>] unit info: CH1_TX_QUEUE_SEQUENZER_BUSY0,166203
I,MRI_CMM,1374,48V supply voltage for patient table is enabled.,147965
I,MRI_HEC,1017,Helium compressor bypass solenoid valve closed.,146853
I,MRI_HEC,1025,Coldhead is running.,146852
I,MRI_HEC,1032,Helium compressor unit is running.,146852
I,MRI_HEC,1031,Helium compressor unit is running in normal mode.,146851
I,MRI_HEC,1029,DB25: status present.,146524
I,MRI_TBC,1382,TxK2304_2Ch [Dev#<DEV_ID>] unit info: TBC_COSPLIDUO_MUXSTATUS_HIGH_TTX_CH0,145701
I,MRI_TBC,1384,TxK2304_2Ch [Dev#<DEV_ID>] unit info: TBC_COSPLIDUO_MUXSTATUS_HIGH_TTX_CH1,145686
I,MRI_FRR,278,Emergency docking released.,119794
I,MRI_FRR,16,The scanning has finished.,114694
I,DeveloperLog_DevLogService,0,Data Preparation: Perform '<GUID>' on '1.3.12.2.1107.5.2.50.<NUM_ID>.<NUM_ID>.0.0.0'.,104993
I,MRI_PAC,104,The following licenses are needed to run the protocol   N_TimApplication.,104008
I,MRI_MPU,104,Magnet Supervision: Pressure Heater is not active.,103697
I,MRI_MPU,70,Magnet Supervision: Pressure heater is active.,102618
I,MRI_CMM,1365,Patient table is docked.,97856
I,MRI_PFW,9113,"InjectorDS425-Injector [Dev#<DEV_ID>] warning: The component is not connected. Connect component to MR System Select ""Restart System"". If the problem persists, please contact Siemens Service.",96780
I,MRI_TBC,87,TxK2304_2Ch [Dev#<DEV_ID>] unit info: CH1_TX_QUEUE_SEQUENZER_BUSY1,84390
I,MRI_TBC,106,TxK2304_2Ch [Dev#<DEV_ID>] unit info: CH0_TX_QUEUE_SEQUENZER_BUSY1,84389
W,MRI_GIM,74,"GIMLI warning (RFCELK2364_COM-GILGALAD [Dev#<DEV_ID>]): The sequence counter didn't jump back to minus 400 microseconds at the begin of the sequence in FPGA to Gimli direction. Select ""Restart System"". If the problem persists, please contact Siemens Service.",69356
