source,occurrence_count
DeveloperLog_DevLogService,2830711
MRI_FRR,1652400
syngo_Application,1244140
_unknown,1147599
MRI_TBC,1140671
Event_UsageTrail,892854
MRI_MSR,805644
MRI_HEC,735000
MRI_COS,699994
MRI_CPA,563365
MRI_GIM,546061
MRI_MPU,315168
MRI_CMM,307828
ExportImportFramework,282377
MRI_PRC,249511
MRI_PTG,239810
MRI_PFW,224513
MRI_PAC,171989
MRI_IRC,152312
MRI_EXU,146287
MRI_SIM,144853
SampleFile,132675
TransferMgr,132364
MRI_GSP,76773
MRI_SCT,70079
PowerShell,60624
MRI_SUT,52840
MRI_VLM,50402
MSSQL$MSSQLSERVER_SYDS,40347
MRI_PRS,36197
MRI_CCS,35079
MRI_SEP,27950
DeveloperError_DevLogService,26261
MRI_MIF,25028
Software Protection Platform Service,22411
Exception_DevLogService,21516
MRI_MOV,16386
MRI_RFS,13828
SystemStatusMonitoringRSC_SysLogService,11818
syngo.MR.HostInfra.Telemetry,11469
Exception,9701
Microsoft-Windows-Kernel-Processor-Power,9312
Microsoft-Windows-FilterManager,9025
ADAM [SyngoConfiguration] ISAM,6668
NLS_SysLogService,6581
ADAM [SyngoConfiguration] General,6089
Microsoft-Windows-Time-Service,6054
Microsoft-Windows-Kernel-General,6018
e1rexpress,5037
WAS,4979
