source,occurrence_count
MRI_FRR,8848005
DeveloperLog_DevLogService,6987263
Event_UsageTrail,2875038
MRI_MSR,2197915
MRI_COS,1651253
MRI_TBC,1402003
syngo_Application,1021840
MRI_PFW,827653
MRI_PRC,825612
MRI_SEP,739728
MRI_PTD,711555
MRI_IRC,517660
MRI_EXU,498593
MRI_PAC,400949
SampleFile,371635
MRI_MPU,271398
ExportImportFramework,268042
MRI_GSP,206552
MRI_CCS,153525
MRI_SUT,123726
DeveloperError_DevLogService,90135
TransferMgr,58111
PowerShell,50540
MRI_SCT,41151
MRI_MOV,38626
TransferJobExecutor_SysLogService,36035
MSSQL$MSSQLSERVER_SYDS,30549
MRI_RXV,30457
MRI_MIF,29645
MRI_RFS,26979
TransferJobExecutor_Application,21373
Software Protection Platform Service,19538
MRI_PRS,19040
MRI_MPT,16418
syngo_TransferFramework_SysLogService,13604
syngo.MR.HostInfra.Telemetry,9976
SystemStatusMonitoringRSC_SysLogService,8038
MRI_COI,6477
DMJobTask_SysLogService,6268
Microsoft-Windows-FilterManager,5832
NLS_SysLogService,5490
e1rexpress,5298
MRI_CMM,4976
ADAM [SyngoConfiguration] ISAM,4594
Exception_DevLogService,4506
Autoreport,4495
Microsoft-Windows-Kernel-Processor-Power,4236
Microsoft-Windows-Kernel-General,4190
MRI_PMU,3935
TM_TQ,3698
