source,occurrence_count
DeveloperLog_DevLogService,2068444
MRI_FRR,1384060
MRI_TBC,1110980
Event_UsageTrail,970835
syngo_Application,877134
MRI_MSR,861981
MRI_HEC,835970
MRI_COS,649390
MRI_CPA,468178
MRI_CMM,325602
MRI_PRC,324750
ExportImportFramework,229819
MRI_IRC,201234
MRI_PFW,188860
MRI_PTG,186150
MRI_PAC,158901
MRI_EXU,156035
SampleFile,151306
MRI_SIM,122162
MRI_MPU,60652
MRI_GSP,53907
TransferMgr,44936
PowerShell,43511
MRI_SUT,43457
MRI_CCS,31463
MSSQL$MSSQLSERVER_SYDS,26975
MRI_SEP,25119
MRI_PRS,21910
MRI_SCT,14281
DeveloperError_DevLogService,12566
Software Protection Platform Service,11830
MRI_MIF,11326
MRI_MOV,10284
SystemStatusMonitoringRSC_SysLogService,9212
syngo.MR.HostInfra.Telemetry,8611
Exception_DevLogService,8306
MRI_RFS,7259
MRI_GWD,5580
Microsoft-Windows-FilterManager,5287
NLS_SysLogService,4365
Microsoft-Windows-Kernel-General,4262
Microsoft-Windows-Kernel-Processor-Power,3780
Autoreport,3687
e2fexpress,3214
MRI_MPT,3210
ADAM [SyngoConfiguration] General,3140
TM_TQ,3100
MRI_CEG,2960
ADAM [SyngoConfiguration] ISAM,2862
MsiInstaller,2852
