source,occurrence_count
DeveloperLog_DevLogService,12291107
Event_UsageTrail,6137512
MRI_FRR,4936272
MRI_MSR,2746049
MRI_HEC,2541706
MRI_COS,2007975
MRI_TBC,1741422
MRI_CPA,1437412
syngo_Application,1347507
MRI_CMM,1005094
DeveloperError_DevLogService,1004261
MRI_PRC,1003920
MRI_PTG,682009
MRI_EXU,631923
MRI_PFW,576505
MRI_SIM,529016
MRI_PAC,493963
MRI_GSP,355523
SampleFile,320791
MRI_MPU,307786
ExportImportFramework,305989
MRI_CCS,161723
MRI_SUT,154944
NVWMI,133537
MRI_IRC,115212
PowerShell,68645
MRI_SEP,54671
MRI_SCT,53419
MSSQL$MSSQLSERVER_SYDS,42083
Exception_DevLogService,38309
MRI_MOV,35024
MRI_PRS,32548
MRI_MIF,30752
MRI_GWD,24077
Software Protection Platform Service,20954
MRI_MPT,14495
TransferJobExecutor_SysLogService,13644
SystemStatusMonitoringRSC_SysLogService,12838
syngo.MR.HostInfra.Telemetry,12531
MRI_SCD,12048
TransferMgr,7628
MRI_RFS,7430
MsiInstaller,7228
NLS_SysLogService,7087
Service Control Manager,7047
Microsoft-Windows-FilterManager,6685
Microsoft-Windows-Kernel-Processor-Power,5640
Microsoft-Windows-Kernel-General,5245
ADAM [SyngoConfiguration] General,5071
TransferJobExecutor_Application,5028
