source,occurrence_count
DeveloperLog_DevLogService,10902912
MRI_FRR,5922413
Event_UsageTrail,4615749
MRI_TBC,4249125
MRI_HEC,3693409
MRI_MSR,3273076
MRI_COS,2501642
_unknown,2075359
MRI_MPU,1915184
MRI_CPA,1890316
MRI_PRC,1232974
MRI_CMM,1219784
MRI_PTG,816376
MRI_IRC,808201
MRI_PFW,620331
MRI_PAC,610998
SampleFile,580358
MRI_EXU,571307
syngo_Application,549473
MRI_SIM,442014
DeveloperError_DevLogService,247481
MRI_GSP,215416
MRI_SUT,175928
MRI_CCS,151774
PowerShell,150483
MRI_SEP,120648
TransferJobExecutor_SysLogService,113961
ExportImportFramework,105456
Exception_DevLogService,88467
MRI_MOV,76893
syngo_TransferFramework_SysLogService,74257
TransferJobExecutor_Application,65281
MRI_MIF,51780
MRI_SCT,47410
NLS_SysLogService,39567
Exception,18833
MRI_RFS,18674
MRI_PRS,17647
MRI_GWD,17482
MRI_MPT,17085
MSSQL$MSSQLSERVER_SYDS,15044
Software Protection Platform Service,11998
TM_TQ,11805
TransferMgr,11012
MsiInstaller,10906
WAS,7784
Autoreport,6647
SystemStatusMonitoringRSC_SysLogService,5896
syngo_TransferFramework,4517
Microsoft-Windows-Kernel-General,4480
