source,occurrence_count
DeveloperLog_DevLogService,4235007
MRI_FRR,3131588
Event_UsageTrail,1604920
MRI_MSR,1549246
MRI_HEC,1406559
MRI_COS,1124524
MRI_TBC,969025
MRI_CPA,842826
syngo_Application,839728
MRI_CMM,567240
MRI_PRC,562128
MRI_PTG,481815
MRI_EXU,343874
MRI_PFW,327733
MRI_MPU,294104
MRI_PAC,279062
SampleFile,267656
ExportImportFramework,242167
MRI_SEP,146616
MRI_GSP,138782
MRI_CCS,83705
MRI_SUT,81269
TransferMgr,64766
NVWMI,63295
MRI_PSR,41347
MRI_IRC,40797
PowerShell,38117
MSSQL$MSSQLSERVER_SYDS,29061
DeveloperError_DevLogService,28589
MRI_MOV,24500
Service Control Manager,24094
MRI_PRS,19508
MRI_RSA,18800
MRI_MPT,11010
syngo.MR.HostInfra.Telemetry,8919
MRI_MIF,8793
SystemStatusMonitoringRSC_SysLogService,7450
MRI_RFS,6892
NLS_SysLogService,5760
Microsoft-Windows-Kernel-General,4741
Microsoft-Windows-FilterManager,4610
Autoreport,4419
TM_TQ,4243
MRI_RXV,4138
Microsoft-Windows-Kernel-Processor-Power,3960
ADAM [SyngoConfiguration] General,3563
Microsoft-Windows-Time-Service,3155
MsiInstaller,2926
ESENT,2772
Software Protection Platform Service,2679
