source,occurrence_count
Event_UsageTrail,928857
DeveloperLog_DevLogService,805893
MRI_FRR,455469
MRI_MSR,292428
MRI_HEC,291280
MRI_COS,212204
MRI_TBC,166040
MRI_CPA,139439
MRI_PRC,106112
MRI_CMM,95618
MRI_MPU,83255
MRI_PTG,68156
MRI_SEP,68136
MRI_EXU,62983
syngo_Application,60398
MRI_PAC,53206
MRI_VLM,47547
MRI_SIM,39999
SampleFile,34936
MRI_GSP,25826
Exception_DevLogService,17121
MRI_IRC,14630
MRI_SUT,14622
DeveloperError_DevLogService,13227
MRI_CCS,11658
MRI_MOV,10871
ExportImportFramework,10832
PowerShell,10316
MRI_MIF,4010
MsiInstaller,4000
MRI_PFW,3512
MRI_GWD,2968
MRI_SCT,2638
Software Protection Platform Service,2010
MRI_MPT,1942
MSSQL$MSSQLSERVER_SYDS,1842
MRI_PRS,1766
NLS_SysLogService,1641
SystemStatusMonitoringRSC_SysLogService,1518
TransferMgr,904
TM_TQ,760
MRI_RFS,700
MRI_COI,636
syngo.MR.HostInfra.StartupService,619
MRI_ADS,564
Autoreport,544
ADAM [SyngoConfiguration] General,534
ADAM [SyngoConfiguration] ISAM,405
Microsoft-Windows-Kernel-Processor-Power,384
Microsoft-Windows-Kernel-General,310
