source,occurrence_count
DeveloperLog_DevLogService,4295881
MRI_FRR,3991785
MRI_HEC,2538417
Event_UsageTrail,2177578
_unknown,1967883
MRI_MSR,1933028
MRI_COS,1428744
MRI_TBC,1251801
MRI_CPA,1106167
MRI_PTG,878631
syngo_Application,853694
MRI_CMM,723543
MRI_CEG,715002
MRI_PRC,714406
MRI_IRC,460712
MRI_MPU,447963
MRI_PFW,424928
MRI_PAC,356166
SampleFile,340798
MRI_EXU,335921
ExportImportFramework,220159
MRI_GSP,220123
MRI_CCS,143285
MRI_SCD,124042
MRI_SUT,102083
MRI_SEP,70613
PowerShell,52244
MRI_RSA,45662
DeveloperError_DevLogService,36246
MRI_SCT,32708
Exception_DevLogService,29788
MSSQL$MSSQLSERVER_SYDS,27972
TransferMgr,26512
MRI_PRS,24686
MRI_MOV,24613
MRI_MPT,15514
Exception,14388
NLS_SysLogService,13173
Software Protection Platform Service,11248
MRI_MIF,9732
syngo_TransferFramework_SysLogService,9518
syngo.MR.HostInfra.Telemetry,8598
SystemStatusMonitoringRSC_SysLogService,8224
CSA_LM_FLEXLM,6338
MRI_RFS,5940
Microsoft-Windows-FilterManager,5064
syngo_TransferFramework,4759
Microsoft-Windows-Kernel-General,4102
ADAM [SyngoConfiguration] ISAM,3854
Microsoft-Windows-Kernel-Processor-Power,3636
