source,occurrence_count
DeveloperLog_DevLogService,6660467
MRI_FRR,3617866
MRI_HEC,3211908
MRI_MSR,2853877
Event_UsageTrail,2501044
MRI_COS,2086549
MRI_TBC,1766298
MRI_CPA,1136946
MRI_PRC,1043467
MRI_CMM,1017753
MRI_EXU,642030
MRI_MPU,583076
MRI_PAC,522244
MRI_SIM,505306
MRI_VLM,503560
MRI_PTG,354382
MRI_GSP,267197
SampleFile,246122
syngo_Application,207018
MRI_RSA,193607
DeveloperError_DevLogService,185251
MRI_SUT,162390
MRI_IRC,98112
MRI_CCS,97396
MRI_MOV,81841
MRI_SCT,79717
PowerShell,77481
Exception_DevLogService,56814
MRI_MIF,35355
NLS_SysLogService,28526
MRI_GWD,21196
_unknown,14781
MRI_MPT,13891
MRI_RFS,12926
MRI_PFW,12290
TransferJobExecutor_SysLogService,8896
ExportImportFramework,8801
CSA_LM_FLEXLM,8760
Software Protection Platform Service,7999
MsiInstaller,7680
MRI_PRS,7495
TransferMgr,7191
MSSQL$MSSQLSERVER_SYDS,7073
MRI_COI,6425
TransferJobExecutor_Application,5834
TM_TQ,4934
User_Application,4297
Autoreport,4149
MRI_SEP,4005
SystemStatusMonitoringRSC_SysLogService,3346
