source,occurrence_count
DeveloperLog_DevLogService,21529802
MRI_FRR,4674585
MRI_GIM,4422811
_unknown,3291264
MRI_MSR,2536145
MRI_HEC,2274434
MRI_COS,1875414
MRI_MPU,1748570
MRI_TBC,1562069
syngo_Application,1413567
Event_UsageTrail,1099877
MRI_CMM,917724
MRI_CPA,791151
MRI_PTG,696913
MRI_PFW,554259
MRI_EXU,491162
MRI_PAC,471614
MRI_PRC,461714
MRI_VLM,453243
ExportImportFramework,354442
MRI_GSP,232332
MRI_CCS,161938
SampleFile,160170
MRI_SUT,126066
MRI_SEP,77735
Exception_DevLogService,76468
PowerShell,68527
MRI_IRC,65457
DeveloperError_DevLogService,61662
TransferMgr,58938
MRI_MOV,58260
MSSQL$MSSQLSERVER_SYDS,47097
MRI_PSR,41685
MRI_PRS,33942
MRI_MIF,27435
MRI_MPT,19387
MRI_RFS,19198
syngo.MR.HostInfra.Telemetry,15144
MRI_COI,14945
Exception,13355
MRI_RSA,13341
SystemStatusMonitoringRSC_SysLogService,13064
Microsoft-Windows-Time-Service,8001
Microsoft-Windows-FilterManager,7532
Autoreport,6975
e1rexpress,6604
Microsoft-Windows-Kernel-Processor-Power,6456
Microsoft-Windows-Kernel-General,6067
ADAM [SyngoConfiguration] General,5903
ESENT,4841
