source,occurrence_count
DeveloperLog_DevLogService,2757826
MRI_FRR,1506664
syngo_Application,1405172
Event_UsageTrail,1063046
MRI_MSR,761725
MRI_HEC,692914
MRI_COS,550529
MRI_TBC,475217
ExportImportFramework,387308
MRI_CPA,384680
MRI_CMM,307488
MRI_PTG,285228
MRI_PRC,275229
MRI_PFW,248846
MRI_EXU,178957
SampleFile,175934
MRI_PAC,136300
MRI_SIM,116551
MRI_MPU,112932
MRI_GSP,74182
MRI_PSR,60592
NVWMI,51495
MSSQL$MSSQLSERVER_SYDS,43365
MRI_CCS,42959
MRI_SUT,42838
PowerShell,42004
MRI_PRS,33764
MRI_SCT,28080
Service Control Manager,22975
MRI_IRC,20203
MRI_MOV,19542
DeveloperError_DevLogService,18250
syngo.MR.HostInfra.Telemetry,14282
MRI_MIF,12682
NLS_SysLogService,12410
SystemStatusMonitoringRSC_SysLogService,11720
Exception_DevLogService,9926
MsiInstaller,8896
MRI_SEP,7824
Microsoft-Windows-Kernel-Processor-Power,7792
Microsoft-Windows-FilterManager,6808
Autoreport,6247
Microsoft-Windows-Kernel-General,5719
syngo_TransferFramework_SysLogService,5568
ADAM [SyngoConfiguration] General,5320
TM_TQ,4928
MRI_RFS,4833
MRI_CEG,4634
e1rexpress,4051
Microsoft-Windows-Time-Service,4042
