source,occurrence_count
DeveloperLog_DevLogService,4487429
MRI_FRR,2084187
Event_UsageTrail,1748477
MRI_GIM,1109721
MRI_HEC,1068922
MRI_MSR,1054128
MRI_COS,768202
MRI_TBC,652916
MRI_CPA,564577
MRI_CMM,373064
MRI_MPU,329759
MRI_EXU,326943
MRI_PTG,259235
MRI_SIM,246470
SampleFile,226217
syngo_Application,202356
MRI_PFW,200319
MRI_PRC,192048
MRI_PAC,185058
MRI_GSP,117422
MRI_CCS,99823
MRI_SUT,78271
PowerShell,56109
ExportImportFramework,54384
TransferMgr,50866
NVWMI,37943
MRI_GWD,24962
MRI_MOV,24504
DeveloperError_DevLogService,24234
MRI_IRC,17849
MRI_MIF,17526
MRI_SEP,12196
DMJobTask_SysLogService,11562
Exception_DevLogService,8959
MRI_VLM,6998
NLS_SysLogService,6889
MRI_MPT,6817
MSSQL$MSSQLSERVER_SYDS,6728
MRI_PRS,6034
TM_TQ,5620
Autoreport,3056
MRI_COI,2772
Microsoft-Windows-Kernel-General,2522
MRI_RFS,2181
SystemStatusMonitoringRSC_SysLogService,2107
syngo.MR.HostInfra.Telemetry,1998
_unknown,1537
ADAM [SyngoConfiguration] ISAM,1270
Microsoft-Windows-FilterManager,1099
MRI_ADS,1044
