source,occurrence_count
MRI_MPU,3116712
DeveloperLog_DevLogService,1639763
MRI_FRR,1512073
_unknown,914165
MRI_HEC,466174
MRI_MSR,376352
SampleFile,372791
Event_UsageTrail,340554
syngo_Application,286994
MRI_COS,274647
MRI_CPA,242647
MRI_TBC,235712
PowerShell,180540
MRI_PTG,142802
MRI_CMM,140874
MRI_PRC,125752
MRI_PFW,120637
MRI_GIM,103406
MRI_PAC,68162
ExportImportFramework,63206
MRI_EXU,56186
TransferMgr,40608
MRI_SEP,33564
MRI_IRC,33178
MRI_GSP,29392
MRI_PRS,27043
MRI_CCS,24910
MRI_SUT,19939
Exception_DevLogService,19938
MsiInstaller,18080
syngo_TransferFramework_SysLogService,16734
MSSQL$MSSQLSERVER_SYDS,13058
NLS_SysLogService,12882
Software Protection Platform Service,12042
MRI_VLM,11619
TM_TQ,11037
DeveloperError_DevLogService,10728
Exception,9338
syngo_TransferFramework,8150
MRI_SCD,7917
Autoreport,7319
MRI_PSR,7125
NVWMI,6572
CSA_LM_FLEXLM,5504
MRI_MIF,5175
MRI_RXV,5002
MRI_MOV,4611
Microsoft-Windows-Kernel-General,4338
WAS,4260
MRI_GDY,3830
