source,occurrence_count
DeveloperLog_DevLogService,1430130
syngo_Application,1382296
MRI_FRR,1179950
MRI_MPU,487084
Event_UsageTrail,475892
_unknown,422858
ExportImportFramework,303703
MRI_DVS,225268
MRI_SIM,187722
MRI_MSR,134585
SampleFile,129926
DeveloperError_DevLogService,121173
MRI_PFW,121165
MRI_COS,112239
MRI_SEP,64055
MRI_CCS,57881
MRI_RFP,52977
MRI_PRC,49289
PowerShell,49221
MRI_PTD,37654
MSSQL$MSSQLSERVER_SYDS,37650
MRI_PRS,35833
TransferMgr,28858
MRI_EXU,27378
MRI_PAC,26487
MRI_CMM,25564
MRI_IRC,24312
TM_TQ,19903
NLS_SysLogService,18670
syngo.MR.HostInfra.Telemetry,17091
SystemStatusMonitoringRSC_SysLogService,16768
MRI_RCC,16350
Software Protection Platform Service,15843
MRI_MCP,11626
MRI_MIF,11122
MRI_GSP,9793
Microsoft-Windows-Kernel-Processor-Power,9560
MRI_SAT,9161
Microsoft-Windows-Kernel-General,8829
MRI_SUT,8769
Microsoft-Windows-FilterManager,7623
Exception_DevLogService,6393
ADAM [SyngoConfiguration] ISAM,6042
Autoreport,5255
ADAM [SyngoConfiguration] General,4867
MRI_CEG,4713
MRI_MOV,4309
Microsoft-Windows-Kernel-Boot,4302
WAS,4206
MRI_RFS,3882
