source,occurrence_count
DeveloperLog_DevLogService,577108
MRI_FRR,512795
MRI_HEC,421743
MRI_MSR,352645
MRI_SEP,312628
MRI_COS,259279
Event_UsageTrail,239015
MRI_TBC,220774
MRI_CPA,162863
MRI_PRC,129714
MRI_CMM,126481
MRI_EXU,78125
MRI_SIM,70781
MRI_MPU,70574
MRI_PTG,69934
MRI_PAC,64832
MRI_VLM,63106
MRI_GSP,34100
MRI_SUT,20234
SampleFile,19371
TransferMgr,12028
MRI_RSA,11803
MRI_IRC,11411
DeveloperError_DevLogService,10576
MRI_CCS,10460
PowerShell,9774
MRI_MOV,8336
MRI_SCT,7898
MRI_MIF,4636
MRI_GWD,2604
syngo_Application,2412
MRI_RFS,1907
MRI_MPT,1613
Exception_DevLogService,1008
NLS_SysLogService,990
TransferJobExecutor_SysLogService,658
Software Protection Platform Service,645
MRI_COI,514
TM_TQ,479
Autoreport,473
TransferJobExecutor_Application,436
MRI_PRS,292
MRI_ADS,280
MRI_PFW,231
SystemStatusMonitoringRSC_SysLogService,213
ADAM [SyngoConfiguration] ISAM,198
Microsoft-Windows-WHEA-Logger,191
MsiInstaller,160
ADAM [SyngoConfiguration] Replication,141
MSSQL$MSSQLSERVER_SYDS,122
