source,occurrence_count
DeveloperLog_DevLogService,9782338
MRI_FRR,4996890
MRI_GIM,4177127
Event_UsageTrail,4129111
MRI_TBC,3654515
syngo_Application,3488289
MRI_MSR,2858247
MRI_HEC,2621606
MRI_COS,2158744
MRI_MPU,1727083
MRI_CPA,1548651
_unknown,1141663
MRI_CMM,1101365
ExportImportFramework,943768
Microsoft-Windows-WHEA-Logger,893199
MRI_PFW,820852
NVWMI,764921
MRI_PTG,722386
MRI_SIM,532984
MRI_PRC,528294
MRI_PAC,524473
MRI_EXU,488235
SampleFile,457288
DeveloperError_DevLogService,300476
MRI_PSR,228357
MRI_IRC,223118
MRI_GSP,221415
MSSQL$MSSQLSERVER_SYDS,215759
PowerShell,171357
MRI_SUT,158903
TransferMgr,153625
MRI_SEP,147351
MRI_RFP,145124
MRI_CCS,119948
MRI_PRS,104192
MRI_SCT,83318
MRI_MIF,59353
Software Protection Platform Service,50956
MRI_GWD,34764
syngo.MR.HostInfra.Telemetry,34025
SystemStatusMonitoringRSC_SysLogService,31522
Exception_DevLogService,31425
MRI_MOV,26833
NLS_SysLogService,26697
MRI_RFS,26428
Microsoft-Windows-Kernel-Processor-Power,21504
Microsoft-Windows-FilterManager,19205
TM_TQ,18068
MsiInstaller,16554
ADAM [SyngoConfiguration] General,15112
