source,occurrence_count
DeveloperLog_DevLogService,6880280
Event_UsageTrail,3634394
MRI_FRR,3191364
MRI_MSR,1735632
MRI_HEC,1613372
MRI_COS,1288729
MRI_TBC,1119707
syngo_Application,882882
MRI_CPA,750245
MRI_PTG,686561
MRI_CMM,651123
MRI_PRC,644267
MRI_EXU,510360
MRI_IRC,387406
SampleFile,348886
MRI_PFW,343253
MRI_PAC,321232
ExportImportFramework,236150
MRI_GSP,227617
MRI_CCS,147163
_unknown,132524
MRI_SCD,106746
MRI_MPU,104660
MRI_SUT,103990
PowerShell,45697
MRI_SEP,45205
DeveloperError_DevLogService,43864
MRI_RSA,36872
TransferMgr,31332
MRI_MOV,30450
MSSQL$MSSQLSERVER_SYDS,29067
MRI_SCT,19571
MRI_PRS,17413
Exception_DevLogService,15757
MRI_MPT,11648
MRI_MIF,10146
syngo.MR.HostInfra.Telemetry,8744
SystemStatusMonitoringRSC_SysLogService,7293
MRI_RFS,5254
Microsoft-Windows-FilterManager,4804
NLS_SysLogService,4751
Software Protection Platform Service,4392
Microsoft-Windows-Kernel-General,4258
ADAM [SyngoConfiguration] ISAM,3937
Autoreport,3921
Microsoft-Windows-Kernel-Processor-Power,3624
MRI_COI,3464
TM_TQ,3349
e2fexpress,3153
ADAM [SyngoConfiguration] General,3026
