source,occurrence_count
MRI_FRR,1385016
syngo_Application,758086
DeveloperLog_DevLogService,705776
MRI_MSR,631067
MRI_HEC,525543
MRI_COS,479746
MRI_TBC,383858
MRI_CPA,348729
_unknown,346780
MRI_PRC,225324
MRI_CMM,215904
SampleFile,208956
ExportImportFramework,197942
MRI_PTG,178208
Event_UsageTrail,172243
MRI_MPU,149900
MRI_PAC,122962
MRI_EXU,110499
MRI_VLM,104683
MsiInstaller,60627
MRI_GSP,54382
MRI_PFW,46924
MRI_CCS,39946
MRI_SUT,38489
MRI_SEP,29717
MRI_PRS,27363
PowerShell,26448
MSSQL$MSSQLSERVER_SYDS,24576
MRI_IRC,19275
Software Protection Platform Service,15283
MRI_MOV,13795
DeveloperError_DevLogService,11053
SystemStatusMonitoringRSC_SysLogService,10084
TM_TQ,9828
MRI_MIF,8764
syngo.MR.HostInfra.StartupService,8727
ADAM [SyngoConfiguration] General,6553
MRI_RFS,6380
Service Control Manager,5776
Autoreport,4225
Microsoft-Windows-Kernel-Processor-Power,4068
MRI_MPT,3998
MRI_COI,3852
Microsoft-Windows-Time-Service,3718
e1rexpress,3672
Exception_DevLogService,3652
NLS_SysLogService,3377
MRI_CEG,3346
MRI_SCT,3173
SystemStatusMonitoringRSC,3098
