source,occurrence_count
DeveloperLog_DevLogService,2960017
MRI_FRR,2378128
_unknown,1295438
Event_UsageTrail,1233311
MRI_MSR,1108448
MRI_HEC,961573
syngo_Application,885439
MRI_COS,849017
MRI_TBC,713130
MRI_CPA,581332
MRI_PRC,403796
MRI_CMM,403579
MRI_PTG,318443
MRI_PFW,290862
MRI_EXU,265988
ExportImportFramework,261458
DeveloperError_DevLogService,249903
MRI_PSR,219202
MRI_GSP,204423
MRI_PAC,200498
MRI_MPU,192358
TransferJobExecutor_SysLogService,167739
syngo_TransferFramework_SysLogService,150895
SampleFile,146529
MRI_SIM,116150
MRI_SUT,89475
TransferJobExecutor_Application,87980
Exception_DevLogService,78578
MRI_CCS,58858
PowerShell,49654
syngo_TransferFramework,48063
NVWMI,42104
MRI_SCT,36634
MRI_MIF,36388
TransferJobExecutor,35669
Exception,31245
MRI_IRC,29774
MSSQL$MSSQLSERVER_SYDS,28487
MRI_SEP,28166
MRI_PRS,26641
TransferMgr,24050
MRI_RFS,20826
MRI_RSA,15669
Software Protection Platform Service,13122
Microsoft-Windows-Kernel-Processor-Power,12224
Microsoft-Windows-FilterManager,10683
Microsoft-Windows-Kernel-General,9292
syngo.MR.HostInfra.Telemetry,9036
ADAM [SyngoConfiguration] General,8652
Microsoft-Windows-Time-Service,7442
