source,occurrence_count
DeveloperLog_DevLogService,1818187
MRI_FRR,1601122
syngo_Application,1220432
MRI_MSR,721623
Event_UsageTrail,709839
MRI_HEC,652634
MRI_COS,528991
MRI_TBC,455744
MRI_CPA,402299
MRI_MPU,349517
ExportImportFramework,311551
MRI_CMM,273115
MRI_PRC,261916
MRI_PFW,200870
MRI_PTG,196389
MRI_EXU,152460
_unknown,131790
MRI_PAC,129880
SampleFile,112460
MRI_SIM,104851
MRI_GSP,90189
PowerShell,46242
MRI_CCS,45281
NVWMI,42391
MRI_SUT,39707
MSSQL$MSSQLSERVER_SYDS,37210
MRI_PSR,32740
MRI_SEP,31644
MRI_PRS,26249
MRI_SCT,26087
TransferMgr,20926
MRI_IRC,18058
MRI_MIF,17791
DeveloperError_DevLogService,14250
MsiInstaller,12232
syngo.MR.HostInfra.Telemetry,12168
SystemStatusMonitoringRSC_SysLogService,9931
NLS_SysLogService,8416
MRI_MOV,8217
Microsoft-Windows-FilterManager,6402
Microsoft-Windows-Kernel-General,6283
MRI_RFS,6017
Exception_DevLogService,5733
Microsoft-Windows-Kernel-Processor-Power,5496
ADAM [SyngoConfiguration] General,5170
Microsoft-Windows-Time-Service,4425
Autoreport,4039
ESENT,3740
MRI_GWD,3722
syngo_TransferFramework_SysLogService,3456
