source,occurrence_count
DeveloperLog_DevLogService,5279211
Event_UsageTrail,3194132
MRI_FRR,3046225
MRI_HEC,1744172
MRI_MSR,1551461
_unknown,1238301
MRI_COS,1115142
MRI_TBC,970360
syngo_Application,931740
MRI_CPA,875613
MRI_PTG,685795
MRI_CMM,580897
MRI_PRC,573481
SampleFile,447015
TransferJobExecutor_SysLogService,387078
MRI_IRC,359226
MRI_MPU,347584
MRI_EXU,316755
MRI_PFW,309535
DeveloperError_DevLogService,300412
MRI_PAC,278322
ExportImportFramework,242663
TransferJobExecutor_Application,236532
syngo_TransferFramework_SysLogService,166333
MRI_GSP,138885
MRI_SEP,118527
MRI_CCS,117433
TransferMgr,97360
MRI_SCD,89052
MRI_SUT,76024
PowerShell,54510
TransferJobExecutor,32689
syngo_TransferFramework,31138
MSSQL$MSSQLSERVER_SYDS,27439
MRI_MOV,26784
MRI_PRS,21747
Exception_DevLogService,12804
MRI_MPT,12520
MRI_MIF,11123
syngo.MR.HostInfra.Telemetry,8873
MRI_SCT,8667
SystemStatusMonitoringRSC_SysLogService,7168
NLS_SysLogService,5502
Microsoft-Windows-Kernel-General,4895
Microsoft-Windows-FilterManager,4792
TM_TQ,4475
MRI_RFS,4131
Autoreport,3987
ADAM [SyngoConfiguration] ISAM,3968
Exception,3625
