source,occurrence_count
DeveloperLog_DevLogService,2021834
MRI_FRR,1196333
syngo_Application,1019765
Event_UsageTrail,754128
MRI_MSR,579918
MRI_HEC,535032
MRI_COS,431548
MRI_CPA,418304
MRI_TBC,368261
MRI_MPU,320887
ExportImportFramework,262894
MRI_CMM,231459
MRI_PTG,221718
MRI_PRC,184530
MRI_GIM,184326
MRI_PFW,164120
SampleFile,143250
MRI_EXU,123044
MRI_PAC,105360
MRI_IRC,98985
MRI_SIM,90500
MRI_GSP,52890
PowerShell,47807
MRI_CCS,37953
MSSQL$MSSQLSERVER_SYDS,29865
MRI_SUT,29388
TransferMgr,26036
MRI_PRS,23489
MRI_SCT,21844
DeveloperError_DevLogService,16414
MRI_MIF,14871
NVWMI,12577
Software Protection Platform Service,12038
syngo.MR.HostInfra.Telemetry,9548
SystemStatusMonitoringRSC_SysLogService,8856
MsiInstaller,7948
MRI_PSR,7755
MRI_MOV,7085
MRI_RFS,5604
Microsoft-Windows-Kernel-Processor-Power,5568
NLS_SysLogService,5429
Microsoft-Windows-FilterManager,5350
MRI_GWD,5012
Autoreport,4333
Microsoft-Windows-Kernel-General,4098
TM_TQ,3904
ADAM [SyngoConfiguration] ISAM,3882
MRI_SEP,3819
ADAM [SyngoConfiguration] General,3579
Microsoft-Windows-Time-Service,3392
