source,occurrence_count
DeveloperLog_DevLogService,5502406
Event_UsageTrail,2887011
MRI_FRR,2855500
MRI_MSR,1425623
MRI_HEC,1289248
MRI_COS,1033705
MRI_TBC,890897
syngo_Application,873081
MRI_CPA,665201
MRI_CMM,523600
MRI_PRC,516886
DeveloperError_DevLogService,488911
MRI_PTG,457621
MRI_EXU,327565
MRI_PFW,305459
SampleFile,275987
MRI_MPU,266241
MRI_PAC,256539
ExportImportFramework,229224
MRI_SEP,143811
MRI_GSP,110953
MRI_PSR,93161
NVWMI,85503
MRI_CCS,73643
MRI_SUT,68956
TransferMgr,53312
MRI_IRC,47796
MRI_MOV,39147
PowerShell,36141
MRI_CEG,34416
MSSQL$MSSQLSERVER_SYDS,26663
MRI_PRS,19145
MRI_SCT,16880
Exception_DevLogService,13146
MRI_MIF,11019
MRI_MPT,10791
syngo.MR.HostInfra.Telemetry,8692
SystemStatusMonitoringRSC_SysLogService,7153
MRI_RFS,6307
TransferJobExecutor_SysLogService,6160
NLS_SysLogService,6069
Microsoft-Windows-Kernel-General,4428
Autoreport,4311
Microsoft-Windows-FilterManager,4256
Microsoft-Windows-Kernel-Processor-Power,3648
TransferJobExecutor_Application,3488
TM_TQ,3469
ADAM [SyngoConfiguration] General,3313
Microsoft-Windows-Time-Service,2963
syngo_TransferFramework_SysLogService,2798
