source,occurrence_count
MRI_FRR,8053924
DeveloperLog_DevLogService,7052910
Event_UsageTrail,2867370
MRI_MSR,2327133
MRI_ICM,1715961
MRI_COS,1689960
MRI_DVS,1412898
MRI_MPU,1384142
syngo_Application,1190636
MRI_IRC,532143
MRI_EXU,483508
MRI_PTN,448375
MRI_PRC,422578
MRI_GIM,421703
MRI_PAC,418857
SampleFile,356393
ExportImportFramework,274951
DeveloperError_DevLogService,272653
MRI_GSP,187388
MRI_RFP,160133
MRI_CCS,125080
MRI_SUT,123194
MRI_PFW,87302
MRI_SCT,69585
NVWMI,63277
PowerShell,60243
MSSQL$MSSQLSERVER_SYDS,41976
MRI_MOV,35822
Exception_DevLogService,25710
MRI_MIF,21092
MRI_PRS,19080
Software Protection Platform Service,17023
MRI_MPT,13514
SystemStatusMonitoringRSC_SysLogService,12649
MRI_RFS,11952
syngo.MR.HostInfra.Telemetry,10908
MRI_ICS,7330
NLS_SysLogService,7328
Microsoft-Windows-FilterManager,6664
Microsoft-Windows-Kernel-Processor-Power,5712
MsiInstaller,5560
TransferMgr,5412
Microsoft-Windows-Kernel-General,5291
ADAM [SyngoConfiguration] General,5288
TM_TQ,5172
Autoreport,5100
Microsoft-Windows-Time-Service,4612
TransferJobExecutor_SysLogService,4087
ESENT,3946
ADAM [SyngoConfiguration] ISAM,3727
