source,occurrence_count
DeveloperLog_DevLogService,3546737
MRI_FRR,2526475
MRI_MSR,1814331
MRI_HEC,1401675
MRI_COS,1329785
Event_UsageTrail,1283268
MRI_TBC,981162
syngo_Application,957196
MRI_CPA,711948
MRI_PRC,659004
MRI_CMM,561633
MRI_EXU,365594
MRI_PAC,336188
MRI_PTG,292941
MRI_VLM,278070
MRI_SIM,251039
SampleFile,239196
ExportImportFramework,209962
MRI_GSP,155857
MRI_MOV,111260
_unknown,109620
MRI_MPU,94036
MRI_SUT,92553
DeveloperError_DevLogService,79123
MRI_CCS,78720
MRI_IRC,67060
MsiInstaller,58884
MRI_PFW,43192
PowerShell,42424
MRI_SEP,39871
Exception_DevLogService,37141
MRI_MIF,36474
MSSQL$MSSQLSERVER_SYDS,33870
MRI_PRS,22941
TransferMgr,20322
MRI_GWD,18570
Software Protection Platform Service,18331
MRI_MPT,14951
MRI_RFS,14867
ADAM [SyngoConfiguration] General,13778
MRI_SCT,11887
SystemStatusMonitoringRSC_SysLogService,11447
syngo.MR.HostInfra.StartupService,8726
NLS_SysLogService,7709
ADAM [SyngoConfiguration] ISAM,6293
Microsoft-Windows-Kernel-Processor-Power,5664
TransferJobExecutor_SysLogService,4790
Autoreport,3983
e1rexpress,3199
TransferJobExecutor_Application,3198
