source,occurrence_count
DeveloperLog_DevLogService,5909593
MRI_FRR,4761652
Event_UsageTrail,3310770
MRI_HEC,3288669
MRI_MSR,2342027
_unknown,1967229
MRI_COS,1752743
MRI_TBC,1493514
syngo_Application,1086640
MRI_CPA,1007400
MRI_PRC,882335
MRI_CMM,878688
MRI_PTG,647939
MRI_IRC,533294
TransferJobExecutor_SysLogService,521823
SampleFile,508682
MRI_PFW,462505
MRI_PAC,430879
DeveloperError_DevLogService,383541
MRI_EXU,355483
ExportImportFramework,304885
MRI_MPU,300976
TransferJobExecutor_Application,188011
syngo_TransferFramework_SysLogService,173998
MRI_GSP,155082
MRI_CCS,132472
TransferJobExecutor,110912
MRI_SCD,108113
MRI_SUT,103365
DMJobTask_SysLogService,70240
syngo_TransferFramework,55020
PowerShell,52234
MRI_RSA,45607
TransferMgr,42446
MRI_SEP,41618
MRI_MOV,35402
MRI_SCT,35133
MSSQL$MSSQLSERVER_SYDS,33596
MRI_PRS,26664
DMJobTask,21793
MRI_MIF,20771
Exception_DevLogService,19545
MRI_MPT,17533
MRI_RFS,16441
Software Protection Platform Service,15544
syngo.MR.HostInfra.Telemetry,10551
SystemStatusMonitoringRSC_SysLogService,8388
Microsoft-Windows-FilterManager,6721
NLS_SysLogService,5770
TM_TQ,5745
