source,occurrence_count
MRI_FRR,1398983
DeveloperLog_DevLogService,1378737
MRI_MSR,912119
MRI_HEC,847645
MRI_TBC,558732
Event_UsageTrail,535682
MRI_COS,524525
MRI_CPA,388094
MRI_CMM,326984
MRI_PRC,265365
MRI_VLM,245705
syngo_Application,203193
MRI_MPU,202445
_unknown,199484
MRI_PTG,166233
MRI_PAC,166151
MRI_EXU,146291
MRI_SIM,121102
MRI_GSP,63304
MRI_CCS,50512
MRI_SUT,42411
TransferMgr,39476
MRI_MOV,38182
SampleFile,33507
DeveloperError_DevLogService,31545
PowerShell,27089
MRI_IRC,25250
MRI_SEP,19982
Exception_DevLogService,18316
MsiInstaller,14080
MRI_MIF,12734
MRI_GWD,11323
MRI_PFW,11094
ExportImportFramework,9070
ADAM [SyngoConfiguration] General,8850
MSSQL$MSSQLSERVER_SYDS,6550
Software Protection Platform Service,5961
Microsoft-Windows-Kernel-Processor-Power,5808
MRI_MPT,5678
MRI_PRS,5272
SystemStatusMonitoringRSC_SysLogService,5002
ADAM [SyngoConfiguration] ISAM,4910
Microsoft-Windows-Time-Service,4196
e1rexpress,3680
NLS_SysLogService,3454
Microsoft-Windows-FilterManager,2904
TransferJobExecutor_SysLogService,2852
Microsoft-Windows-Kernel-General,2686
MRI_SCT,2607
Microsoft-Windows-Kernel-Boot,2541
