source,occurrence_count
DeveloperLog_DevLogService,570269
syngo_Application,528910
MRI_FRR,327045
MRI_MPU,260330
Event_UsageTrail,197282
MRI_GIM,165407
MRI_MSR,154837
ExportImportFramework,149648
MRI_HEC,143371
MRI_COS,110890
MRI_TBC,97753
MRI_CPA,79705
SampleFile,64686
MRI_PTG,62838
MRI_CMM,61185
MRI_PFW,60170
MRI_EXU,32447
MRI_PAC,27762
MRI_PRC,27678
MRI_SIM,25403
NVWMI,21677
PowerShell,21472
TransferMgr,21230
MSSQL$MSSQLSERVER_SYDS,16873
MRI_PRS,12465
MRI_CCS,11034
MRI_GSP,9553
Software Protection Platform Service,8910
MRI_SUT,8267
syngo.MR.HostInfra.Telemetry,5135
DeveloperError_DevLogService,4648
SystemStatusMonitoringRSC_SysLogService,4439
MRI_PSR,4422
MRI_IRC,3840
NLS_SysLogService,3277
Microsoft-Windows-FilterManager,2702
TM_TQ,2556
MRI_MIF,2505
Autoreport,2433
MRI_MOV,2412
Microsoft-Windows-Kernel-General,2342
Microsoft-Windows-Kernel-Processor-Power,2316
MsiInstaller,2248
MRI_SEP,2173
ADAM [SyngoConfiguration] General,2115
Microsoft-Windows-Time-Service,1891
ESENT,1810
MRI_GWD,1656
e1rexpress,1635
MRI_CEG,1533
