source,occurrence_count
DeveloperLog_DevLogService,1687519
MRI_FRR,939422
MRI_HEC,592525
MRI_MSR,584423
MRI_COS,422345
Event_UsageTrail,393670
MRI_MPU,388815
MRI_TBC,300427
MRI_CPA,293189
MRI_PRC,211300
MRI_CMM,175154
MRI_PTG,145312
MRI_VLM,138819
MRI_EXU,128827
MRI_PAC,105582
MRI_GSP,84630
SampleFile,82786
MRI_SUT,31493
MRI_CCS,25198
MRI_RSA,22210
PowerShell,19787
MRI_MOV,18087
syngo_Application,16898
MRI_IRC,16787
DeveloperError_DevLogService,16223
MRI_MPT,4694
MRI_SCT,4659
MsiInstaller,3726
MRI_MIF,3494
Exception_DevLogService,2506
NLS_SysLogService,2074
TM_TQ,1511
MRI_RFS,1334
MRI_PFW,1152
TransferJobExecutor_SysLogService,969
MRI_COI,911
Autoreport,835
MRI_PRS,825
MRI_ADS,688
MSSQL$MSSQLSERVER_SYDS,673
TransferJobExecutor_Application,542
User_Application,497
syngo_TransferFramework_SysLogService,414
SystemStatusMonitoringRSC_SysLogService,404
ADAM [SyngoConfiguration] ISAM,390
ADAM [SyngoConfiguration] Replication,294
Microsoft-Windows-Kernel-General,274
TransferMgr,256
WAS,200
MRI_SEP,172
