source,occurrence_count
DeveloperLog_DevLogService,6259182
MRI_FRR,3039685
Event_UsageTrail,2476115
MRI_MSR,1632594
MRI_HEC,1488141
MRI_COS,1204941
MRI_TBC,1020197
MRI_CPA,892067
syngo_Application,796700
MRI_CMM,596284
MRI_PRC,515082
MRI_GIM,505702
MRI_PTG,489776
MRI_PFW,322527
MRI_EXU,312991
SampleFile,307206
MRI_MPU,304486
MRI_PAC,296444
MRI_IRC,283403
DeveloperError_DevLogService,277322
MRI_SIM,237514
ExportImportFramework,220732
MRI_CCS,134219
MRI_GSP,126656
MRI_RSA,85990
MRI_SUT,77066
TransferMgr,50995
PowerShell,46977
MRI_PSR,39373
MRI_MOV,33667
Exception_DevLogService,27111
MSSQL$MSSQLSERVER_SYDS,23981
MRI_MIF,18909
MRI_PRS,17743
NLS_SysLogService,17062
NVWMI,16301
syngo_TransferFramework_SysLogService,13959
MRI_RFS,13212
Software Protection Platform Service,12696
MRI_MPT,12556
DMJobTask_SysLogService,10691
syngo.MR.HostInfra.Telemetry,7697
SystemStatusMonitoringRSC_SysLogService,6543
MRI_SCT,6198
TransferJobExecutor_SysLogService,5448
Microsoft-Windows-Kernel-General,4446
Microsoft-Windows-Kernel-Processor-Power,4432
Microsoft-Windows-FilterManager,4388
Autoreport,3859
MRI_SEP,3763
