source,occurrence_count
DeveloperLog_DevLogService,4882418
MRI_FRR,2973320
MRI_GIM,2353099
Event_UsageTrail,2114682
MRI_TBC,2000664
MRI_HEC,1646366
MRI_MSR,1636235
MRI_COS,1210735
MRI_CPA,792336
MRI_MPU,749876
MRI_CMM,593846
MRI_PTG,453997
syngo_Application,365729
MRI_EXU,353764
MRI_PFW,346706
MRI_PRC,302682
MRI_PAC,294352
SampleFile,278329
MRI_SIM,275761
MRI_SEP,156697
MRI_GSP,141958
MRI_CCS,100268
ExportImportFramework,88705
MRI_SUT,84790
PowerShell,52153
MRI_IRC,46241
DeveloperError_DevLogService,41762
NVWMI,36992
MRI_GWD,24824
TransferMgr,24822
MRI_MOV,23063
MRI_MIF,21817
MRI_SCT,20018
MSSQL$MSSQLSERVER_SYDS,12214
MRI_PRS,12088
Exception_DevLogService,11060
MRI_MPT,10407
Software Protection Platform Service,8269
NLS_SysLogService,7142
MRI_RFS,5690
TM_TQ,4797
SystemStatusMonitoringRSC_SysLogService,4151
syngo.MR.HostInfra.Telemetry,3560
Autoreport,3419
Microsoft-Windows-Kernel-General,3018
Microsoft-Windows-Kernel-Processor-Power,2224
Service Control Manager,2084
Microsoft-Windows-FilterManager,1946
_unknown,1941
ADAM [SyngoConfiguration] General,1510
