source,occurrence_count
DeveloperLog_DevLogService,5477870
MRI_FRR,3059198
Event_UsageTrail,2146535
MRI_MSR,1528835
MRI_HEC,1376860
MRI_COS,1109639
MRI_TBC,939186
syngo_Application,897324
MRI_CPA,689140
MRI_CMM,556138
MRI_PRC,554915
MRI_PTG,532787
DeveloperError_DevLogService,421832
MRI_PFW,329121
MRI_EXU,316565
SampleFile,295077
MRI_PAC,273400
ExportImportFramework,250447
MRI_MPU,249295
MRI_GSP,114204
MRI_CCS,84162
MRI_MOV,76470
MRI_SUT,75347
NVWMI,62819
MRI_PSR,49998
TransferMgr,46152
MRI_IRC,43306
PowerShell,37657
MSSQL$MSSQLSERVER_SYDS,27629
MRI_PRS,19916
MRI_MIF,13727
Software Protection Platform Service,13539
MRI_MPT,11545
MRI_RFS,10732
MRI_SCT,9949
syngo.MR.HostInfra.Telemetry,9124
NLS_SysLogService,8357
Exception_DevLogService,7723
SystemStatusMonitoringRSC_SysLogService,7282
MRI_SEP,6348
TM_TQ,6081
Microsoft-Windows-Kernel-General,4606
TransferJobExecutor_SysLogService,4502
Microsoft-Windows-FilterManager,4391
Autoreport,4032
Microsoft-Windows-Kernel-Processor-Power,3780
ADAM [SyngoConfiguration] General,3423
Microsoft-Windows-Time-Service,3015
MRI_CEG,2777
ESENT,2576
