source,occurrence_count
DeveloperLog_DevLogService,7889682
MRI_FRR,6807465
_unknown,6171902
Event_UsageTrail,3857962
MRI_MSR,3634051
MRI_HEC,3319730
MRI_COS,2873740
MRI_TBC,2448285
MRI_CPA,1834834
syngo_Application,1701860
MRI_CMM,1338689
MRI_PRC,1327974
MRI_MPU,1107737
MRI_PFW,802437
MRI_PTG,714210
MRI_PAC,710694
DeveloperError_DevLogService,493678
MRI_EXU,460729
ExportImportFramework,428966
SampleFile,413008
TransferMgr,249767
MRI_GSP,218816
MRI_PSR,213775
MRI_CCS,202349
MRI_SUT,186430
NVWMI,158310
MRI_IRC,101626
PowerShell,78114
MRI_SEP,67052
MSSQL$MSSQLSERVER_SYDS,49106
MRI_PRS,48637
MRI_MOV,37389
MRI_SCT,29075
MRI_MPT,26545
MRI_RFS,24204
MRI_MIF,24109
TM_TQ,16520
syngo.MR.HostInfra.Telemetry,16239
SystemStatusMonitoringRSC_SysLogService,12697
NLS_SysLogService,11405
Exception_DevLogService,9831
Microsoft-Windows-FilterManager,8855
Microsoft-Windows-Kernel-General,8458
Exception,7981
Microsoft-Windows-Kernel-Processor-Power,7596
SystemStatusMonitoringRSC,7221
ADAM [SyngoConfiguration] General,7018
Autoreport,6905
Microsoft-Windows-Time-Service,6169
MRI_CEG,6005
